Rank,Name,Platform,Year,Sega Genesisre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Nintendo Wii Sports,Nintendo Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
2,Super Mario Bros.,Nintendo ES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Nintendo Wii,Nintendo Wii,2008,RaciNeo Geo,Nintendo,15.85,12.88,3.79,3.31,35.82
4,Nintendo Wii Sports Resort,Nintendo Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33
5,Pokemon Red/Pokemon Blue,Game Boy,1996,Role-PlayiNeo Geo,Nintendo,11.27,8.89,10.22,1,31.37
6,Tetris,Game Boy,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros.,Nintendo DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01
8,Nintendo Wii Play,Nintendo Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
9,New Super Mario Bros. Nintendo Wii,Nintendo Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62
10,Duck Hunt,Nintendo ES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
11,Nintendogs,Nintendo DS,2005,Simulation,Nintendo,9.07,11,1.93,2.75,24.76
12,Mario Kart DS,Nintendo DS,2005,RaciNeo Geo,Nintendo,9.81,7.57,4.13,1.92,23.42
13,Pokemon Gold/Pokemon Silver,Game Boy,1999,Role-PlayiNeo Geo,Nintendo,9,6.18,7.2,0.71,23.1
14,Nintendo Wii Fit,Nintendo Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
15,Nintendo Wii Fit Plus,Nintendo Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22
16,Kinect Adventures!,Xbox 360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
17,Grand Theft Auto V,Play Station 3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
18,Grand Theft Auto: San Andreas,Play Station 2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
19,Super Mario World,Super Nintendo ES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
20,Brain Age: Train Your Brain in Minutes a Day,Nintendo DS,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22
21,Pokemon Diamond/Pokemon Pearl,Nintendo DS,2006,Role-PlayiNeo Geo,Nintendo,6.42,4.52,6.04,1.37,18.36
22,Super Mario Land,Game Boy,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
23,Super Mario Bros. 3,Nintendo ES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
24,Grand Theft Auto V,Xbox 360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
25,Grand Theft Auto: Vice City,Play Station 2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
26,Pokemon Ruby/Pokemon Sapphire,Game Boy,2002,Role-PlayiNeo Geo,Nintendo,6.06,3.9,5.38,0.5,15.85
27,Pokemon Black/Pokemon White,Nintendo DS,2010,Role-PlayiNeo Geo,Nintendo,5.57,3.28,5.65,0.82,15.32
28,Brain Age 2: More TrainiNeo Geo in Minutes a Day,Nintendo DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3
29,Gran Turismo 3: A-Spec,Play Station 2,2001,RaciNeo Geo,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
30,Call of Duty: Modern Warfare 3,Xbox 360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76
31,Pokémon Yellow: Special Pikachu Edition,Game Boy,1998,Role-PlayiNeo Geo,Nintendo,5.89,5.04,3.12,0.59,14.64
32,Call of Duty: Black OPlay Station,Xbox 360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64
33,Pokemon X/Pokemon Y,Nintendo 3DS,2013,Role-PlayiNeo Geo,Nintendo,5.17,4.05,4.34,0.79,14.35
34,Call of Duty: Black OPlay Station 3,Play Station 4,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24
35,Call of Duty: Black OPlay Station II,Play Station 3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03
36,Call of Duty: Black OPlay Station II,Xbox 360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73
